Problem Number;Problem Name;Status;Difficulty;Tags
1315;Sum of Nodes with Even Valued Grandparent;Finished;Medium,trees
1317;Convert Integer to the Sum of Two No Zero Integers;Finished;Easy,math
1318;Minimum Flips to Make a OR b Equal to c;Finished;Medium,bit-manipulation
1323;Maximum 69 Number;Finished;Easy,math
1324;Print Words Vertically;Finished;Medium,string
1325;Delete Leaves With a Given Value;Finished;Medium,trees
1328;Break a Palindrome;Finished;Medium,string
1329;Sort the Matrix Diagonally;Finished;Medium,sort,arrays
1331;Rank Transform of an Array;Finished;Easy,arrays
1332;Remove Palindromic Subsequences;Finished;Easy,string
1333;Filter Restaurants by Vegan Friendly, Price and Distance;Finished;Medium,sort,arrays
1337;The K Weakest Rows in a Matrix;Finished;Easy,binary-search
1338;Reduce Array Size to The Half;Finished;Medium
1339;Maximum Product of Splitted Binary Tree;Finished;Medium
1342;Number of Steps to Reduce a Number to Zero;Finished;Easy
1343;Number of Sub arrays of Size K and Average Greater than or Equal to Threshold;Finished;Medium,dynamic-programming,trees
1344;Angle Between Hands of a Clock;Finished;Medium,dynamic-programming
1346;Check If N and Its Double Exist;Finished;Easy
1347;Minimum Number of Steps to Make Two Strings Anagram;Finished;Medium
1351;Count Negative Numbers in a Sorted Matrix;Finished;Easy,binary-search
1352;Product of the Last K Numbers;Finished;Medium
1353;Maximum Number of Events That Can Be Attended;Finished;Medium
1356;Sort Integers by The Number of 1 Bits;Finished;Easy
1357;Apply Discount Every n Orders;Finished;Medium
1358;Number of Substrings Containing All Three Characters;Finished;Medium
1361;Validate Binary Tree Nodes;Finished;Medium
1362;Closest Divisors;Finished;Medium
1365;How Many  Numbers Are Smaller Than the Current Number;Finished;Easy
1370;Increasing Decreasing String;Finished;Easy
1374;Generate a String With Characters That Have Odd Counts;Finished;Easy
1375;Bulb Switcher III;Finished;Medium
1376;Time Needed to Inform All Employees;Finished;Medium
1377;Frog Position After T Seconds;Finished;Hard
1379;Find a Corresponding Node of a Binary Tree in a Clone of That Tree;Finished;Medium
1380;Lucky Numbers in a Matrix;Finished;Easy
1381;Design a Stack With Increment Operation;Finished;Medium
1382;Balance a Binary Search Tree;Finished;Medium
1385;Find the Distance Value Between Two Arrays;Finished;Easy
1386;Cinema Seat Allocation;Finished;Medium
1387;Sort Integers by The Power Value;Finished;Medium
1389;Create Target Array in the Given Order;Finished;Easy
1390;Four Divisors;Finished;Medium
1391;Check if There is a Valid Path in a Grid;Finished;Medium
1392;Longest Happy Prefix;Finished;Hard
1394;Find Lucky Integer in an Array;Finished;Easy
1395;Count Number of Teams;Finished;Medium
1396;Design Underground System;Finished;Medium
1408;String Matching in an Array;Finished;Easy
1409;Queries on a Permutation With Key;Finished;Medium
1410;HTML Entity Parser;Finished;Medium
1411;Number of Ways to Paint N × 3 Grid;Finished;Hard
1417;Reformat The String;Finished;Easy
1418;Display Table of Food Orders in a Restaurant;Finished;Medium
1419;Minimum Number of Frogs Croaking;Finished;Medium
